codigo_mesa,codigo_prato,quantidade_pedido,codigo_situacao_pedido
1288,754,3,3
4370,579,2,2
8888,118,3,2
6970,812,2,3
6667,526,3,2
1176,451,2,3
2722,302,4,2
6714,463,2,2
6217,244,2,3
1733,713,1,2
8499,137,4,3
3534,594,3,2
3050,999,6,2
5304,136,4,2
2810,382,3,2
443,346,1,2
467,712,2,3
9004,300,3,3
9771,840,2,3
7810,394,1,3
2494,467,3,3
234,371,5,2
8920,967,3,3
8245,218,1,3
8004,893,5,2
6476,32,6,3
2016,777,2,3
8826,290,1,3
9052,63,6,3
8437,272,1,3
923,673,6,2
3630,545,5,2
4967,312,5,2
4225,995,4,3
3234,910,5,2
5459,410,2,3
1299,946,5,3
2566,72,5,3
2289,715,4,3
6628,817,6,2
6217,853,3,2
231,706,3,2
4806,58,3,3
7653,122,1,3
8952,758,5,2
5448,123,4,2
4696,827,6,2
1291,37,6,2
5874,171,5,2
4416,689,4,2
1754,750,5,3
3296,599,3,2
9644,736,2,2
9637,145,2,3
5269,828,5,2
4360,589,2,2
671,23,5,3
9548,350,5,2
7358,966,6,2
5667,564,3,3
9073,183,4,2
8864,292,4,2
6738,41,6,3
5375,170,6,2
4607,332,3,2
5803,848,1,3
9604,218,6,2
1371,924,3,2
215,813,6,3
7893,42,2,3
3054,831,1,2
4988,775,2,3
8810,351,4,3
6173,539,5,2
3580,610,1,3
1139,911,5,3
4506,299,5,2
1705,747,3,3
8323,395,6,3
8119,581,2,3
1267,365,6,3
2466,346,4,2
720,379,5,2
7442,390,6,2
9402,108,5,3
7553,118,2,2
5004,693,2,3
3902,282,2,3
6881,846,1,2
8700,536,3,3
8628,482,2,3
8994,625,6,2
5237,19,2,3
7283,434,3,2
9579,916,4,2
2446,635,2,2
8925,698,3,2
2167,376,6,2
3972,401,3,3
7971,747,6,3
8317,963,2,2
4113,447,5,3
9290,22,2,2
5603,614,2,3
8665,266,2,3
7579,503,6,3
6144,190,3,2
7935,428,3,3
7339,339,1,3
6778,110,1,2
8111,82,5,3
9457,989,1,3
8949,981,5,3
7673,10,5,2
1503,826,6,3
6311,54,2,3
3857,224,3,2
7366,276,4,3
1679,655,6,3
2350,398,3,2
9626,640,6,2
5651,719,6,2
5315,740,2,2
7009,642,1,2
1123,191,3,3
2601,176,1,3
6697,612,1,3
7528,382,1,2
7813,650,3,2
3744,446,5,2
9097,117,4,3
4674,959,6,2
1025,978,1,2
5866,808,1,2
8195,163,6,2
348,114,1,2
770,953,6,2
6968,21,2,3
8237,262,6,3
3189,207,5,3
2088,304,4,2
3391,535,6,3
2820,632,3,2
8209,754,1,3
970,647,1,2
7280,507,4,3
8249,451,4,3
5698,633,2,3
3101,232,4,3
6184,485,6,3
8434,837,4,2
5754,539,4,2
4531,811,2,2
7189,75,1,2
2213,848,1,2
8001,184,5,3
642,261,2,3
3993,739,3,2
7650,475,6,3
7334,899,6,2
6478,263,3,3
694,290,4,2
182,465,3,3
7248,640,1,2
1432,873,4,3
9352,778,4,2
7280,215,4,3
7402,953,5,2
4098,504,1,3
9862,431,6,2
4337,282,6,3
5329,621,1,2
9058,355,2,3
9121,372,5,3
1252,621,4,3
2132,919,1,3
3902,395,6,3
9771,517,2,3
7813,890,1,3
8505,81,3,2
9515,813,1,2
492,882,6,2
2801,73,4,3
6811,865,3,3
600,365,3,2
1111,505,4,2
8232,88,2,2
645,499,5,3
9522,419,4,3
836,835,4,3
4056,611,6,2
3551,376,4,2
3204,606,4,3
1668,35,1,3
6343,869,1,2
749,271,3,2
5680,707,2,3
5858,214,1,3
5959,95,3,3
7236,940,6,2
6019,33,3,2
8194,988,6,3
8135,209,5,2
2109,460,5,3
1382,350,5,2
8178,893,5,2
9138,793,5,2
8082,463,6,3
5570,913,5,3
7535,823,3,3
